nom,date,cumulative_suspected_deaths
Bunia,2026-05-18,18.0
Butembo,2026-05-18,0.0
Goma,2026-05-18,0.0
Katwa,2026-05-18,0.0
Mongbwalu,2026-05-18,74.0
Nyankunde,2026-05-18,1.0
Rwampara,2026-05-18,38.0
Bunia,2026-05-19,23.0
Butembo,2026-05-19,0.0
Goma,2026-05-19,0.0
Katwa,2026-05-19,0.0
Mongbwalu,2026-05-19,77.0
Nyankunde,2026-05-19,5.0
Rwampara,2026-05-19,43.0
Bambu,2026-05-20,0.0
Bunia,2026-05-20,31.0
Butembo,2026-05-20,0.0
Echantillons sans fiche,2026-05-20,0.0
Goma,2026-05-20,0.0
Katwa,2026-05-20,0.0
Mongbwalu,2026-05-20,80.0
Nyankunde,2026-05-20,5.0
Rwampara,2026-05-20,44.0
Bambu,2026-05-21,ND
Bunia,2026-05-21,ND
Butembo,2026-05-21,ND
Echantillons sans fiche,2026-05-21,ND
Goma,2026-05-21,ND
Katwa,2026-05-21,ND
Kilo Mission,2026-05-21,ND
Miti Murhesa,2026-05-21,ND
Mongbwalu,2026-05-21,ND
Nizi,2026-05-21,ND
Nyankunde,2026-05-21,ND
Rwampara,2026-05-21,ND
ARU,2026-05-22,ND
Bunia,2026-05-22,ND
Butembo,2026-05-22,ND
Echantillons sans fiche,2026-05-22,ND
Goma,2026-05-22,ND
Katwa,2026-05-22,ND
Kilo,2026-05-22,ND
Miti Murhesa,2026-05-22,ND
Mongbwalu,2026-05-22,ND
Nizi,2026-05-22,ND
Nyankunde,2026-05-22,ND
Rwampara,2026-05-22,ND
Aru,2026-05-23,1.0
Bambu,2026-05-23,2.0
Bunia,2026-05-23,48.0
Butembo,2026-05-23,0.0
Echantillons sans fiche,2026-05-23,0.0
Goma,2026-05-23,0.0
Katwa,2026-05-23,0.0
Kilo,2026-05-23,2.0
Miti Murhesa,2026-05-23,0.0
Mongbwalu,2026-05-23,88.0
Nizi,2026-05-23,2.0
Nyankunde,2026-05-23,8.0
Rwampara,2026-05-23,69.0
Aru,2026-05-24,1.0
Bambu,2026-05-24,2.0
Bunia,2026-05-24,48.0
Butembo,2026-05-24,0.0
Echantillons sans fiche,2026-05-24,0.0
Goma,2026-05-24,0.0
Kalunguta,2026-05-24,ND
Karissibi,2026-05-24,0.0
Katwa,2026-05-24,0.0
Kilo,2026-05-24,2.0
Kyondo,2026-05-24,0.0
Miti Murhesa,2026-05-24,0.0
Mongbwalu,2026-05-24,88.0
Nizi,2026-05-24,2.0
Nyankunde,2026-05-24,11.0
Oicha,2026-05-24,ND
Rwampara,2026-05-24,69.0
Aru,2026-05-25,1
Bambu,2026-05-25,2
Bunia,2026-05-25,55
Butembo,2026-05-25,0
Echantillons sans fiche,2026-05-25,0
Goma,2026-05-25,0
Kalunguta,2026-05-25,0
Karissibi,2026-05-25,0
Katwa,2026-05-25,0
Kilo,2026-05-25,0
Kyondo,2026-05-25,0
Miti Murhesa,2026-05-25,0
Mongbwalu,2026-05-25,88
Nizi,2026-05-25,2
Nyankunde,2026-05-25,15
Oicha,2026-05-25,0
Rwampara,2026-05-25,75
Aru,2026-05-27,1
Bambu,2026-05-27,2
Bunia,2026-05-27,48
Butembo,2026-05-27,0
Echantillons sans fiche,2026-05-27,0
Goma,2026-05-27,0
Kalunguta,2026-05-27,0
Katwa,2026-05-27,0
Kilo,2026-05-27,2
Kyondo,2026-05-27,0
Miti Murhesa,2026-05-27,0
Mongbwalu,2026-05-27,88
Nizi,2026-05-27,2
Nyankunde,2026-05-27,11
Oicha,2026-05-27,0
Rwampara,2026-05-27,69
