nom,date,new_contacts_listed
Bambu,2026-05-12,48.0
Bunia,2026-05-12,87.0
Butembo,2026-05-12,ND
Goma,2026-05-12,ND
Katwa,2026-05-12,ND
Kilo,2026-05-12,ND
Miti Murhesa,2026-05-12,ND
Mongbwalu,2026-05-12,0.0
Nizi,2026-05-12,ND
Nyankunde,2026-05-12,207.0
Rwampara,2026-05-12,0.0
Bunia,2026-05-20,76.0
Butembo,2026-05-20,ND
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Mongbwalu,2026-05-20,15.0
Nyankunde,2026-05-20,0.0
Rwampara,2026-05-20,215.0
Bambu,2026-05-21,128.0
Bunia,2026-05-21,0.0
Butembo,2026-05-21,ND
Goma,2026-05-21,ND
Katwa,2026-05-21,ND
Mongbwalu,2026-05-21,0.0
Nyankunde,2026-05-21,0.0
Rwampara,2026-05-21,286.0
Bambu,2026-05-22,48.0
Bunia,2026-05-22,87.0
Butembo,2026-05-22,ND
Goma,2026-05-22,ND
Katwa,2026-05-22,ND
Kilo,2026-05-22,ND
Miti Murhesa,2026-05-22,ND
Mongbwalu,2026-05-22,0.0
Nizi,2026-05-22,ND
Nyankunde,2026-05-22,207.0
Rwampara,2026-05-22,0.0
Bambu,2026-05-23,ND
Bunia,2026-05-23,43.0
Butembo,2026-05-23,ND
Goma,2026-05-23,ND
Katwa,2026-05-23,ND
Kilo,2026-05-23,ND
Miti Murhesa,2026-05-23,ND
Mongbwalu,2026-05-23,0.0
Nizi,2026-05-23,7.0
Nyankunde,2026-05-23,0.0
Rwampara,2026-05-23,0.0
Aru,2026-05-24,ND
Bunia,2026-05-24,0.0
Butembo,2026-05-24,ND
Goma,2026-05-24,ND
Kalunguta,2026-05-24,ND
Katwa,2026-05-24,ND
Kilo,2026-05-24,ND
Miti Murhesa,2026-05-24,ND
Mongbwalu,2026-05-24,0.0
Nizi,2026-05-24,0.0
Nyankunde,2026-05-24,0.0
Oicha,2026-05-24,ND
Rwampara,2026-05-24,0.0
